Employee #,Last Name,First Name,Birthday,Address,Phone Number,SSS #,Philhealth #,TIN #,Pag-ibig #,Status,Position,Immediate Supervisor,Basic Salary,Rice Subsidy,Phone Allowance,Clothing Allowance,Gross Semi-monthly Rate,Hourly Rate
10001,Garcia,Manuel III,10/11/1983,"Valero Carpark Building Valero Street 1227, Makati City",966-860-270,44-4506057-3,8201-2685-3951,442-605-657-000,6912-9533-0870,Regular,Chief Executive Officer,N/A,"90,000","1,500","2,000","1,000","45,000",536
10002,Lim,Antonio,06/19/1988,"San Antonio De Padua 2, Block 1 Lot 8 and 2, Dasmarinas, Cavite",171-867-411,52-2061274-9,3317-3564-6338,683-102-776-000,6639-0499-5411,Regular,Chief Operating Officer,"Garcia, Manuel III","60,000","1,500","2,000","1,000","30,000",357
10003,Aquino,Bianca Sofia,08/04/1989,"Rm. 402 4/F Jiao Building Timog Avenue Cor. Quezon Avenue 1100, Quezon City",966-889-370,30-8870406-2,1774-5118-9665,971-711-280-000,1715-1977-3969,Regular,Chief Finance Officer,"Garcia, Manuel III","60,000","1,500","2,000","1,000","30,000",357
10004,Reyes,Isabella,06/16/1994,"460 Solanda Street Intramuros 1000, Manila",786-868-477,40-2511815-0,3419-1141-1254,876-809-437-000,4169-4677-6041,Regular,Chief Marketing Officer,"Garcia, Manuel III","60,000","1,500","2,000","1,000","30,000",357
10005,Hernandez,Eduard,09/23/1989,"National Highway, Gingoog,  Misamis Occidental",088-861-012,50-5577638-1,9574-3619-1812,031-702-374-000,9523-4722-2457,Regular,IT Operations and Systems,"Lim, Antonio","52,670","1,500","1,000","1,000","26,335",314
10006,Villanueva,Andrea Mae,02/14/1988,"17/85 Stracke Via Suite 042, Poblacion, Las Piñas 4783 Dinagat Islands ",918-621-603,49-1632020-8,3821-8945-3145,317-674-022-000,4410-9336-9646,Regular,HR Manager,"Lim, Antonio","52,670","1,500","1,000","1,000","26,335",314
10007,San Jose,Brad ,03/15/1996,"99 Strosin Hills, Poblacion, Bislig 5340 Tawi-Tawi",797-009-261,40-2400714-1,2391-9292-6939,672-474-690-000,2108-5020-9964,Regular,HR Team Leader,"Villanueva, Andrea Mae","42,975","1,500",800,800,"21,488",256
10008,Romualdez,Alice,05/14/1992,"12A/33 Upton Isle Apt. 420, Roxas City 1814 Surigao del Norte ",983-606-799,55-4476527-2,5456-5264-0232,888-572-294-000,2113-8555-6888,Regular,HR Rank and File,"San, Jose Brad","22,500","1,500",500,500,"11,250",134
10009,Atienza,Rosie ,09/24/1948,"90A Dibbert Terrace Apt. 190, San Lorenzo 6056 Davao del Norte",266-036-427,41-0644692-3,7089-8823-4853,604-997-793-000,2601-0773-2354,Regular,HR Rank and File,"San, Jose Brad","22,500","1,500",500,500,"11,250",134
10010,Alvaro,Roderick,03/30/1988,"#284 T. Morato corner, Scout Rallos Street, Quezon City",053-381-386,64-7605054-4,5781-1485-3194,525-420-419-000,7992-5409-5212,Regular,Accounting Head,"Aquino, Bianca Sofia ","52,670","1,500","1,000","1,000","26,335",314
